Participant,Variant,Task 1,Task 2,Task 3,Task 4,Haskell Knowledge,Conducted Date,Notes,,,Rank 1,Rank 2,Rank 3,Rank 4
1,No Examples,00:56.19,07:05.39,03:47.00,01:40.00,2,03/10/2012,,,,5,9,8,8
2,Examples,00:59.12,00:50.66,02:21.53,00:38.68,2,03/11/2012,,,,6,1,6,2
3,No Examples,01:36.16,02:57.95,01:21.27,00:49.08,3,,,,,9,5,3,4
4,Examples,00:43.75,01:43.00,02:36.00,01:04.00,3,3/12/2020,,,,3,4,7,7
5,No Examples,00:50.5,03:35.00,01:27.00,00:49.00,3,3/12/2020,Task 2: incorrect guess at 2:50,,,4,7,4,3
6,Examples,01:02.00,01:38.00,01:14.00,04:03.00,2,,,,,7,3,2,10
7,No Examples,01:10.00,11:10.00,04:03.00,00:55.00,2,,Task 2: incorrect guess at 3:20; 8. Task 3: 3:37,,,8,10,9,6
8,Examples,00:36.88,01:19.58,00:56.10,00:13.90,3.5,,Task 2: incorrect guess,,,1,2,1,1
9,No Examples,00:37.97,03:34.96,01:32.20,00:54.20,3,,,,,2,6,5,5
10,Examples,03:48.00,05:25.00,11:46.00,03:38.00,1,,,,,10,8,10,9
